Primary__Hotel Name,Primary__Google Travel,Primary__Total Reviews,Primary__Rating,Primary__Hotel Address,Primary__Contact Number,Primary__Official Website Link,Primary__Date,Primary__Check In Time,Primary__Check Out Time,Rates__Site Name,Rates__Price,Reviews__name,Reviews__review,Reviews__service rate__Rooms,Reviews__service rate__Service,Reviews__service rate__Location,Tripadvisor Ratings__Location,Tripadvisor Ratings__Cleanliness,Tripadvisor Ratings__Service,Tripadvisor Ratings__Value
,,,,,,,,,,,,Anonymous,the room was very affordable. we had 2 double beds and a pullout couch and the room was very spacious which was nice because we were staying multiple nights and needed room to get ready for a wedding. I'd definitely recommend staying here!,,,,,,,
,,,,,,,,,,,,Anonymous,"This is a great place to stay. Especially with a group of younger kids. We're older and we were not one bit disturbed by the ""chaos"" of the younger ones. The rooms are designed so well. We weren't one bit bothered by the kids.",,,,,,,
,,,,,,,,,,,,Anonymous,Had blast with the family. The hot tub was out of service but we didn't let it ruin the trip.,,,,,,,
,,,,,,,,,,,,Anonymous,Great location away from traffic!Not close to highway!Loved our stay! …,,,,,,,
,,,,,,,,,,,,Diamondmember,Greeted at front desk and obtained keys in a proper manner.  Room was very nice with a two bedroom suite.  It worked well for us with four adults.  Breakfast was just ok and adequate.,,,,,,,
,,,,,,,,,,,,Anonymous,Very clean!! All staff was super friendly. Rooms were very spacious. Decent continental breakfast. Pool area was a blast for the kids!,,,,,,,
,,,,,,,,,,,,Jason Eiting,Newer hotel near Bennett Barn with plenty of rooms for all your wedding guests.  Hosts weddings as well. Rooms are spacious and clean. Good getaway spot if you just need a night out of the house.,,,,,,,
,,,,,,,,,,,,Anonymous,i was attending a wedding in the hotel. had a wonderful time. staff awesome. special thanks to jana and brenda they made for a fantastic time. breakfast was a let down. no breakfast meat. i was informed meat truck did not arrive,,,,,,,
,,,,,,,,,,,,Anonymous,"Great place to stay, nice and clean.  Be prepared if you can't get back until late due to a wedding...you may have to walk a distance for parking.",,,,,,,
,,,,,,,,,,,,Anonymous,"Great room, good price, clean but hot tub overrun by locals kids playing in the hot tub where adults are trying to relax. Parents paying no attention. Quiet at night when they leave though.",,,,,,,
,,,,,,,,,,,,Anonymous,We've stayed here twice. Very clean and the beds are ver comfortable. The pool is awesome and the fact they let 4 legged family stay here is a major bonus!!!,,,,,,,
,,,,,,,,,,,,Anonymous,The hotel was clean and well kept. They employees were amazing. The rooms are great and the pool area is awesome. Will definitely come again.,,,,,,,
,,,,,,,,,,,,Matt Coddington,Comfort Suites was the venue for a wedding reception we attended. Fantastic food and atmosphere. No issues with food service or the bar. Rooms are furnished nicely and modern. Great overall experience.,,,,,,,
,,,,,,,,,,,,Aaron Henn,Large rooms with very comfortable beds. Modern feel. Was disappointed that the curtains only closed about 1/4 of the way and our room overlooked a well lit enrance. Made for an unnecessarily bright room.,,,,,,,
,,,,,,,,,,,,Anonymous,Overall the hotel was a fair price for the stay. The tub was clogged and filled with water when I showered. I did report it. The staff was friendly and the room was clean.,,,,,,,
,,,,,,,,,,,,Anonymous,Everything from calling to reserve the room to checking out went extremely smooth and easy. Really loved the oversize Jacuzzi tub! The hotel was a bit tough to find at night since it's off the main roads.,,,,,,,
,,,,,,,,,,,,rbennett53520,"Our stay was perfect! Room was clean, spacious,updated, and in great condition! Bfast was good, bed & pillows super comfy!Will definitely stay again!",,,,,,,
,,,,,,,,,,,,Anonymous,Great room. Didn’t use room service during the stay but friendly staff in breakfast hall and during checkin. Was disappointed with pool closure during the stay as that was one of the main attractions of your hotel.,,,,,,,
,,,,,,,,,,,,Anonymous,"I’ve stayed here for the last four years and love the property, the staff is awesome and try to please the customers. Very clean. Good breakfast.good internet. Great job Johnson Creek!",3,5,5,,,,
,,,,,,,,,,,,jutter98,"The hotel was under construction in the lobby area, but everything was well marked, quiet and clean -- no signs of construction dust. Overall, we had a fabulous stay and will return.",,,,,,,
,,,,,,,,,,,,David Fiedler,"The pool was open, and it is a nice facility. It is not convenient by foot, to get anywhere, but if you have transportation then things are nearby.  Kid friendly and the banquet facility look nice, too.",,,,,,,
,,,,,,,,,,,,Anonymous,"It was pretty good but wanted a jacuzzi, also could have offered more snack items to choose from, but not bad.",,,,,,,
,,,,,,,,,,,,Chris Nowak,"Nice hotel, clean and in good condition. Nice sized pool area that is great for families. Rooms have plenty of space and breakfast was acceptable. Not far from the outlet mall and the freeway.",,,,,,,
,,,,,,,,,,,,Jennifer,"+""""-Needs major updating. NOT very quiet, kids running up and down hall and room up above. Negative: """"",,,,,,,
,,,,,,,,,,,,Larry Schwanke,"Dog friendly, decent room...very good breakfast.  Only thing to keep it from 5 stars...had to park so far away from the doors and walk late at night to get in.",5,5,4,,,,
,,,,,,,,,,,,Anonymous,"The hot tub was out of order the whole time we were there, which was frustrating. The breakfast was good.",,,,,,,
,,,,,,,,,,,,Karja Keller,"Great place to stay!! Nice rooms, pool area and friendly service! Will definitely be back if we're ever in the area.",,,,,,,
,,,,,,,,,,,,Anonymous,Could not ask for a better hotel stay. There wasn't one thing that I would change. The room was beautiful. The bed was so comfortable. We definitely found our preferred place to stay when we visit family in WI. Thank you very much.,,,,,,,
,,,,,,,,,,,,Anonymous,Staff was great. Very clean room. Being renovated but still clean; not fancy but well kept. We wanted a quick play/swimming weekend for the kids.  It was exactly what we wanted.,,,,,,,
,,,,,,,,,,,,Mike Ollendorf,Nice big room. Great service. Nice breakfast.,,,,,,,
,,,,,,,,,,,,Anonymous,"EVERYTHING about this hotel was outstanding. The manager was very helpful when I needed directions to a concert venue, the room was large and clean, the hotel is excellent condition and very clean. The breakfast was great too. I would stay at this hotel again for sure.",,,,,,,
,,,,,,,,,,,,Anonymous,Staff was friendly. Loved the pool area. Question the cleanliness of the room after we found a pair of men’s underwear tucked into the sheets at the bottom of the bed.,,,,,,,
,,,,,,,,,,,,Anonymous,I previously wrote what I didn't like about this place..... no need to recap here. The only three good things about Comfort Inn in Johnson Creek were the staff members. The two gals when I checked in and the gentleman when I checked out. Otherwise... I would say keep driving to Madison or Milwaukee.,,,,,,,
,,,,,,,,,,,,David Keys,"We had a very nice stay at the Comfort Inn, the rooms were clean and the staff was awesome as well.The hospitality was simply great. They are under construction in the front lobby, desk area to make it an even better experience when arriving and checking in.",,,,,,,
,,,,,,,,,,,,Anonymous,"Overall was good, ice machine was broken on first floor and room was a little noisy from other guests.  Staff wasn't overly friendly but not rude either.  Great hot breakfast!!",,,,,,,
,,,,,,,,,,,,Angela Holinka,Pool area needed some cleaning.  Hot tub was nice and hot!  Rooms nice and clean.  Breakfasts hot food was very minimal.  Otherwise lots of selections.,,,,,,,
,,,,,,,,,,,,Surprises,Registration was an effort (even though I was pre-registered).Handicapped room was a long way from the lobby...an inconvenience for those with difficulty walking. …,,,,,,,
,,,,,,,,,,,,McKenzie Kreps,Never ever have your wedding here catering company is rude and disrespectful! Screamed at my mother in law on front of all our guests! Extremely unprofessional promises made to the bride and groom that were not up held and personal belongings were thrown away by cleaning staff! I will never recommend to anyone was a complete disappointment,,,,,,,
,,,,,,,,,,,,Anonymous,Very clean and comfortable rooms. Staff is wonderful and went the extra mile to insure we had a lovely stay. Looking forward to our next trip back.,,,,,,,
,,,,,,,,,,,,Anonymous,"Service was really good. People were great. Location is a little bit off the beaten path, but it is easy to get to. The pool was down for maintenance for the weekend, but didn't know that until we showed up.  That was the most disappointing part.",,,,,,,
,,,,,,,,,,,,Anonymous,Good location near outlet mall and the freeway.  Clean and comfortable room.  Would have appreciated ice machine on every floor.  Would have appreciated all staff and guests wearing masks in public spaces,,,,,,,
,,,,,,,,,,,,Anonymous,the only problem we had with our stay at the Johnson crk comfort suite was it could have had better signs to the motel . every thing was very clean and receptionist was very helpful . the breakfast was very good. the beds were very comfortable.,,,,,,,
,,,,,,,,,,,,Anonymous,"The Hotel itself was not bad, I just wish they could of fixed the couch or switched it out for a good one instead of making me pay for another room. I need to sleep 5 in 1 room but bec the couch was broke We had to purchase 2 rooms instead of just 1.",,,,,,,
,,,,,,,,,,,,Anonymous,The pool was closed for a long amt of time but no notice was given in my reservation reminder. I had un happy kids and a very expensive stay. At least the manager refunded part of my $ the next week. I just wish i knew this earlier so i could have cancelled and found a hotel with a pool.,,,,,,,
,,,,,,,,,,,,Anonymous,"Another great stay despite the big pool being emptied for painting.  I'm glad they are updating their facilities, just wish I would have been forewarned when I called ahead to check on the pool hours before booking.",,,,,,,
,,,,,,,,,,,,Anonymous,"Great size rooms, nice staff, but the water in the kids pool was a little cold",,,,,,,
,,,,,,,,,,,,Anonymous,Pool area was under renovations and closed but this was not noted on their website. We had 3 kids very upset when they looked into the pool area. We canceled this reservation and moved to a different hotel this was much further than we needed to be but it had a pool.,,,,,,,
,,,,,,,,,,,,Anonymous,We stayed here for a night. A little weird getting to but room was spacious and very clean.  Was great they allow dogs for a nominal fee.  Would def stay here again.,,,,,,,
,,,,,,,,,,,,Anonymous,"the staff was great, but the pool water was too cold. when I went in to check the water temp, some kids asked if I worked there to see if I could get raise the water temp. so I wasn't just me.",,,,,,,
,,,,,,,,,,,,Tracy Fuller,"I had a business conference here. The service provided here was great! The staff is very accommodating. We had pizza, pop, coffee, water and some great cookies served. They have competitive rates as well.",,,,,,,
,,,,,,,,,,,,Anonymous,Great service and breakfast. Strong wi fi in the lobby but no signal in 2nd floor room. Price was a little higher than I prefer paying but it is between Madison and Milwaukee,4,4,3,,,,
,,,,,,,,,,,,Christi Block,Will never return! Pool hours were nice..open until 12am. Getting a call from staff at 12:20am that she received a noise complaint from the people below us due to us walking around was NOT cool!!!,,,,,,,
,,,,,,,,,,,,Anonymous,This is a very nice and clean hotel.  Service is above average.  Breakfast is very good and a nice variety.  We always enjoy our stay at this hotel.  We stay here often.,,,,,,,
,,,,,,,,,,,,Michael Koehler,Hotel was newer and fairly nice. Very large rooms. The staff not so much. They missed my wake up call. The room had big stains on the carpet.,,,,,,,
,,,,,,,,,,,,Acespirit99,"The hotel was clean, up to date, well maintained. The staff was friendly and helpful. I can't say enough about this hotel. I just wish I could use this location more often.",,,,,,,
,,,,,,,,,,,,Anonymous,"Girls outing with shopping, eating and enjoying the hotel.  We will return in the future.  Hotel staff was wonderful.  Rooms were so easy to relax and visit in.  Food and beverages offers a variety.",,,,,,,
,,,,,,,,,,,,Anonymous,"I wouldn't  count on your room being ready on time, the amenities in your room working or the morning staff being nice or helpful. The afternoon staff however were wonderful.",,,,,,,
,,,,,,,,,,,,Nita Pearson,Staff is great rooms are fresh. Location is perfect for us.,,,,,,,
,,,,,,,,,,,,Anonymous,"Overall experience was good. Staff was friendly. However, we had mold in our room the first night and the drain in the tub was clogged so you had to shower in standing water.",,,,,,,
,,,,,,,,,,,,Stephanie Puestow,"Went for a wedding and the staff were extreamly rude and distasteful. Waited for hours just to get into our rooms, well after our scheduled check in time. My family was even yelled at by one of the workers. Will not visit again",,,,,,,
,,,,,,,,,,,,Anonymous,"The room was very spacious and comfortable.  Loved the refrigerator and microwave in the room.  My daughter's wedding reception was at the hotel.  Food was very good, hall was beautiful and rooms were very comfortable and very convenient.",,,,,,,
,,,,,,,,,,,,Anonymous,"Party used breakfast area for college party. 1 staff didnt manage or confront drunk behavior. Their party priority over other guests. Terrible experience as party contined well past 3:00am. Loud,swearing, shouting and slamming doors. Little sleep for my exhausted family after traveling hours in winter storm.",,,,,,,
,,,,,,,,,,,,Anonymous,The front desk was very friendly. The hotel was very nice and clean. Much better than the other hotels we’ve stayed in recently. Very impressed,,,,,,,
,,,,,,,,,,,,Stephanie Jensen,"The room was huge! We absolutely loved the space, and I would recommend it again. The pool are is surprisingly large as well, with a deluxe hot tub and kiddie area separate.",,,,,,,
,,,,,,,,,,,,Anonymous,"I have stayed at this hotel before and found it to be overall clean and quiet. In fact, we try to stay there whenever there is a horse show at the Jefferson Fair Grounds. I was totally blown away by the excessive noise at this last stay and NO attempt what so ever by the staff to mitigate this.",,,,,,,
,,,,,,,,,,,,Anonymous,The location is perfect for overnight shopping trips or weekend getaways just an hour from Miller Park. My kids love the pools and continental breakfast. Bonus points for a super comfy king bed!,,,,,,,
,,,,,,,,,,,,Anonymous,"Cons: Front desk clerk is rude, Needs more lighting in hallway on 3rd floor, Bathroom lighting is poor. …",,,,,,,
,,,,,,,,,,,,Anonymous,Overall the hotel stay was great.The door in the restroom in our room was a bite hard to close.,5,5,5,,,,
,,,,,,,,,,,,Anonymous,"This is a fabulous room for friends or family. It is tastefully appointed, clean, and enough room for everybody to relax and enjoy themselves. I would recommend this hotel to everyone I know, as they will not be disappointed.",,,,,,,
,,,,,,,,,,,,Anonymous,I would never stay at this motel again the room was not very clean. They were very short staffed the one man was running himself raged,,,,,,,
,,,,,,,,,,,,Anonymous,"Facilities are fine, might need a freshening. Good signage to find. Close to the Interstate. Cleaning said room was ready and it clearly wasn't. Got another room immediately but not the reserved type.",,,,,,,
,,,,,,,,,,,,sooooooo,"This hotel is always clean, quiet, and friendly. The breakfast needs a bit more variety beyond same style scrambled eggs each day.",,,,,,,
,,,,,,,,,,,,Amanda Gerick,We absolutely love to take our kids swimming here. They have such a blast. Perfect for toddlers and older kids as well.,,,,,,,
,,,,,,,,,,,,Anonymous,"The location is hard to find at night, the bathroom shower curtain looked dirty with black ""mold"" or something on the bottom.  Food item(s) under/by the bed.  Overall the room as nice - overpriced - but nice.",,,,,,,
,,,,,,,,,,,,Anonymous,Very clean and very well taken care of. Staff was excellent and provided a room with tables and chairs for our family of 25 to gather at a very reasonable price. We will definitely be back.,,,,,,,
,,,,,,,,,,,,Sarah Hart Olson,"Simple and sweet experience. Lovely clean pool, great for my kids. Basic rooms for a reasonable price, great customer service. Very happy",,,,,,,
,,,,,,,,,,,,Anonymous,"Hotel is a normal, middle of the road hotel. Everything was just “fine”, no frills to warrant high price per night, except monopoly. Pool was closed, so when traveling with kids, this makes the experience even more “fun”.",,,,,,,
,,,,,,,,,,,,Anonymous,"The hotel was clean and comfortable.  The swimming area was great for kids.  It was a little pricey, but I think that was due in part to a busy weekend.",,,,,,,
,,,,,,,,,,,,Anonymous,"The hotel was very nice, clean and well maintained.  The staff was very helpful we missed breakfast but the guy at the desk had recommendations for some local places we could try.",,,,,,,
,,,,,,,,,,,,Anonymous,"The hotel was right off the expressway, but not right off an exit. It was a little bit of a drive to get to; signage directing you to it could have been bigger. The hotel was going through renovation, looking good. For the price, it was a value that included breakfast.",,,,,,,
,,,,,,,,,,,,pj Tippy,It was quiet and obviously practicing physical distancing. They went to great lengths to serve breakfast with individual packaging we could take back to the rooms or take with on the go. Very friendly.,,,,,,,
,,,,,,,,,,,,Bernal83,Shawn that check me in was AWESOME!!! She was so helpful!! The breakfast person not so much that next morning. Told the breakfast lady about the toaster not working and she said yeah ill keep a eye on it. I can not express how pleasant Shawn was when she checked us in!! :),,,,,,,
,,,,,,,,,,,,Tulani Overton,"The room was very nice, clean, the pool area was awesome, especially for small kids, breakfast in the morning was good, nice area, great staff, nice hotel. I will stay again.",,,,,,,
,,,,,,,,,,,,Anonymous,Quiet hotel with lots of amenities.  Rooms were very clean and comfortable.  Front desk staff were exceptional!  Great breakfast!,,,,,,,
,,,,,,,,,,,,Anonymous,Overall we enjoyed the accommodations but were disappointed due to the uncleanliness of the room!,,,,,,,
,,,,,,,,,,,,Anonymous,Nice hotel but pool area needs some repair. Front desk staff was average however breakfast staff was extremely friendly and keep items stocked despite the large crowd.,,,,,,,
,,,,,,,,,,,,Anonymous,Staff was very friendly. The pool area was much larger than I expected from the website. They have a large hot tub and a separate kid's area that little ones would love.,5,4,4,,,,
,,,,,,,,,,,,Aaron Keistler,"One of the worst phone call customer service experiences I have had at a hotel. I called to book a room for a wedding party, but the block was full. That is understandable and not their fault, but the conversation to follow blew my mind. I travel a lot for work and have encountered many from desk clerks that have all been more willing to assist than this man.[Me] May I book another room for that night out of the block?[Employee] Yes.[Me] ...[Employee] ...[Me] Ok, I'd like to book one of those rooms. How much is a regular room for that night?[Employee] I don't know, I'd have to look.[Me] ...[Employee] ...[Me] Will you please look?[Employee] Yeah sure, it appears to be about $10 more than the block of rooms.[Me] Ok, I think I'll talk to the groom and book through the website.[Employee] -Hangs up-[Me] Hello?... Hello?I hung up and booked on my own through the website. I was not about to give that man my credit card information over the phone.Dude, act like you're happy I am giving you my money to stay there when 1 mile away is a Days Inn for half the price, and if I give you my credit card info, I don't want to know an ""about"" amount for the transaction.",,,,,,,
,,,,,,,,,,,,Dez B,"We're told we could have a room for two nights and then we got there and it was booked. Had to try and find another place last minute with a jacuzzi tub. It was disappointing and no apology or anything was given, I wouldn't stay here again.",,,,,,,
,,,,,,,,,,,,Anonymous,"Great hotel and in a quiet area. Breakfast area is large and food was good. Didn't use the pool area, however, they have 2 pools and a hot tub!",,,,,,,
,,,,,,,,,,,,Anonymous,"It took be a while to find the hotel. I was surprised it was out in a field. I think possibly more signs off of Hwy 26 near the outlet Mall would be nice. Once I got there it was inviting, comfortable and secure. I would give it a 9/10 rating and will be staying again!",,,,,,,
,,,,,,,,,,,,Anonymous,All good..people...breakfast was great. Liked lemon water. Front desk got us plates and forks for a pizza very friendly. checked in we asked where to go eat very helpful!,,,,,,,
,,,,,,,,,,,,Anonymous,Not worth the price. The breakfast was disappointing and the staff was not helpful. We stayed for a wedding and the banquet facility was nice so all that mattered was my cousins happiness. Dogs were barking from another room.,,,,,,,
,,,,,,,,,,,,Anonymous,Hotel was great!!!!  Very spacious at little off the track but well worth the money. Breakfast was great the next day.  Pool was incredible had everything.,,,,,,,
,,,,,,,,,,,,Anonymous,This hotel is very nice. The pool has basketball hoops in it and a kiddie area. The hot tub was large. It was a great getaway for a good price.,,,,,,,
,,,,,,,,,,,,Anonymous,"Nice place to stay, warm and comfortable. Was a snow storm both days I was there, they kept the sidewalks and parking lot in as best of condition that they could of considering the weather",5,5,5,,,,
,,,,,,,,,,,,Anonymous,The hotel was great and everyone was friendly. The room was nice and clean and very comfortable,,,,,,,
,,,,,,,,,,,,Anonymous,I was pleasantly surprised as the last hotel we stayed in didn't even have toilet paper in our room.  It was nice to see the care taken to make sure every guest was taken care of.,,,,,,,
,,,,,,,,,,,,Anonymous,Pulled out the pull out couch and there was dirty towels that smelt awful balled up inside. There was so sheets or blankets in the room so I called for some and they said we had to go down to get them. …,,,,,,,
,,,,,,,,,,,,Rachelle Purington,"The adjoining rooms are nice, the ones we were visiting were spacious. The pool is really cool, has a zero depth entry pool for the younger kids and a great room for parties.",,,,,,,
,,,,,,,,,,,,Anonymous,"Was there when it first opened a few years back.  Have always had good stays here.  Roomy.  Pleasant staff.  Tasty breakfast. Pool (w handicap lift and basketball hoop) hot tub, exercise equipment.",,,,,,,
,,,,,,,,,,,,Billy,"Book a stay at this hotel, you will not be disappointed.  Very modern, clean rooms, two large indoor swimming pools, including one for kids, very large whirlpool hot tub, and excellent breakfast in the morning.",,,,,,,
,,,,,,,,,,,,Ralph,"I have stayed in this facility several times over the years and it is always a nice place to stay. It is handy to a discount shopping strip, fairly priced and always clean. The breakfast facility is particularly nice.",,,,,,,
,,,,,,,,,,,,Bob Marhefke,The first toom I was given was not cleaned. That was odd and made me wonder if the room I got was actually cleaned. The floor in the room felt like it was at an angle. So I downloaded an app to see if it was level. It was at a 2 degree angle. (I'm actually surprised I could feel that),,,,,,,
,,,,,,,,,,,,Doug Randolph,Nice clean room had to take a few side roads to get there. Not sure if you would get there in a semi but did fine with pickup and trailer. Pool looked nice like a little water park,,,,,,,
,,,,,,,,,,,,Anonymous,"Located off the main highways, this location has ample room about the property to safely walk the dogs. The pool is open late and the hot breakfast was much appreciated.",,,,,,,
,,,,,,,,,,,,Anonymous,"For a large family, 11 kids, it was a very nice place to stay.   Plenty of room and rooms ajoining we're just what was needed.  Thank you!",,,,,,,
,,,,,,,,,,,,Anonymous,"A nice quiet place to stay, has it all but breakfast bland and can't keep eggs or sausage hot for some reason.  In the country, edge of the town.  Will return if in the area, a little high on the price but members enjoy a little discount.",,,,,,,
,,,,,,,,,,,,Lynne Roth,"Better beds than Hilton garden inn, in Occononowoc! Cold room, and furnace worked funny. Could use a little better cleaning tho",,,,,,,
,,,,,,,,,,,,Anonymous,"Finding the Comfort Suites in Johnson Creek is like a mouse going through a maze looking for the cheese at the end of the tunnel.  Once I finally arrived, Christine, the manager, was so very pleasant, the room was bright, cheery and comfortable, and all of the staff was very welcoming.",,,,,,,
,,,,,,,,,,,,Anonymous,Very nice I would stay there anytime Staff was very helpful and proactive.  My son was coming in after we checked in and we’re very accommodating with getting him checked in to our room while we were already at our event,,,,,,,
,,,,,,,,,,,,Anonymous,"Pleasant experience at this hotel! Staff was very friendly, hotel was clean and breakfast was great!",,,,,,,
,,,,,,,,,,,,Pamela Reed,"No food or drink in thepool area or security will come in and stop you, not nicely either. Will find another hotel and pool without so many rules.",,,,,,,
,,,,,,,,,,,,Anonymous,the room was clean and spacious.  I would say that they are doing some painting so it was a bit under construction.  I was very displeased with the loud guests above my room which made for an unpleasant stay,,,,,,,
,,,,,,,,,,,,Scott Caldwell,"Light switches didn't all work right, weird noises during the night from somewhere but room was nice, breakfast was good and shampoo/conditioner/lotion were awesome.",,,,,,,
,,,,,,,,,,,,Anonymous,If you want a very quiet place to stay this motel is for you. You will have to follow signs from Interstate carefully. But effort is worth the adventure. Plenty of open space for a nice country walk.,,,,,,,
,,,,,,,,,,,,Anonymous,"Check in and check out was fast. Front desk was great. Room was very spacious and clean. My only issue is , for the money I expected a better breakfast.",,,,,,,
,,,,,,,,,,,,Anonymous,When checking out Sunday Morning a couple of men from Tower Systems Inc were arguing in the parking lot.. Lots of cuss words were exchanged and beer bottles were broken on the ground. …,,,,,,,
,,,,,,,,,,,,Anonymous,"Fantastic place to stay.  Clean, comfortable rooms.  Reasonable price.  Great breakfast to get you on your way.  It is a little hard to get to, but well worth the effort.",,,,,,,
,,,,,,,,,,,,Anonymous,Very nice stay would give it a four out of five stars!  We were impressed by the value and quality we experienced at this location.  Thank you for a comfortable pleasant stay.,,,,,,,
,,,,,,,,,,,,Anonymous,Front desk staff and breakfast was excellent. Pool area nice and big but could use a daily cleaning. Room service sub par.,,,,,,,
,,,,,,,,,,,,James Bushor,"Didn't end up staying. Our flight got changed and drove home. They said they would discout our stay, being we didn't stay and still charged full price for the room.",,,,,,,
,,,,,,,,,,,,Anonymous,I really enjoyed my stay. The hotel was quite and very comfortable. We didn't spend a lot of time at the hotel but while we were there it was great. Very friendly staff.,,,,,,,
,,,,,,,,,,,,Anonymous,"Hotel was mostly clean, quiet. My son loved the pool/play area. Would have liked to have more fresh fruit options at breakfast.",,,,,,,
,,,,,,,,,,,,Anonymous,THis hotel always seems to be busy when I am staying here.  Usually with younger or teams.  It can get quite busy in the lobby and loud at night.  I will try to ask for quieter rooms next time.,,,,,,,
,,,,,,,,,,,,Anonymous,Hotel was meant to be  a meeting hotel in a business park that hasn't developed.  Only one major business nearby.  Not easy to find unless you are familiar with the area. Fairly new.  One of the better alternatives in the area of small towns.,,,,,,,
,,,,,,,,,,,,Anonymous,"It was in the middle of nothing, next to an interstate. Very hard to find, with no security. I had a man trying to peer in the peephole of the door when my husband ran down to the car. …",,,,,,,
,,,,,,,,,,,,Anonymous,Room wasn't ready well after the 3 pm check in time when I arrived. I had to get ready in the lobby bathroom to catch a 4pm shuttle.  The entire wedding block of rooms had bad experiences as well.,,,,,,,
,,,,,,,,,,,,Anonymous,"We have always enjoyed the continental breakfasts at Comfort Suites. They have cut back on their options; no fruit, eggs, meat, or potatoes. We were very disappointed.",,,,,,,
,,,,,,,,,,,,Anonymous,Great value and great stay. Rooms are spacious and comfortable. The hot breakfast is tasty and a definite plus. This is on our list of places to stay again whenever we are in the area.,,,,,,,
,,,,,,,,,,,,Anonymous,Terrible stay.weeds everywhere. Dirty floors and couch in room no towels ever. Overall bad stay,,,,,,,
,,,,,,,,,,,,kenny,"It is a very nice hotel, but the walls are thin as we could hear someone in the next room snoring and we could hear every step the people in the room on the next floor took above us. …",,,,,,,
,,,,,,,,,,,,Anonymous,Very large facility - great for meetings or large family events. Nice facility. Close to outlets if that trips your trigger. Only problem we faced was getting to it from the interstate - it is not directly off the exit - pay attention to directions. Otherwise awesome.,,,,,,,
,,,,,,,,,,,,Anonymous,Beautiful property and nice staff. Don't forget your swim suits - nice swim area! They offer a breakfast spread that will fill you up and the staff will work to meet your needs.,,,,,,,
,,,,,,,,,,,,P “G-ma” Pequeño,"Room smelled of smoke, gross. Probably would be nice if you open a window for a few hours and hired better maids as we did find a vapepin under the couch and trash.",,,,,,,
,,,,,,,,,,,,Masami Tadehara,Rooms are clean and have lots of seating.  Pool is a nice feature with elements that appeal to all ages.,,,,,,,
,,,,,,,,,,,,Anonymous,We got 2 rooms while we were visiting family. The hotel was clean and the room were very spacious!!! Very nice rooms!!! The staff was helpful and the breakfast was very good too.,,,,,,,
,,,,,,,,,,,,Anonymous,I was very pleased. Did not know the room would be so spacious. We loved the pool area.I would definitely stay at this location again.,,,,,,,
,,,,,,,,,,,,Anonymous,The location of our room was perfect.  Just like I asked to be by the door.  Bathroom sink rim needed to be cleaned much better and floor as well.,,,,,,,
,,,,,,,,,,,,Anonymous,This hotel is very conveniently located. The rooms are very spacious and well appointed. We enjoyed our two night stay very much.,,,,,,,
,,,,,,,,,,,,Anonymous,"Comfort Suites Johnson Creek Wi.  Candy wrappers on floor between wall and sofa, hallways need more light to see room numbers.  Door card had to be reactivated several times during our stay.  Outdoor space is small.",,,,,,,
,,,,,,,,,,,,Anonymous,"Friendly staff, clean hotel.  Great amenities.  Really enjoyed our experience.  The staff was outstanding.  Check-in and checkout was very well organized and a breeze.   very clean.",,,,,,,
,,,,,,,,,,,,Anonymous,"Clean rooms, comfortable beds.  Pool area was great.  Only problem we encountered was that we were not able to access the wifi with the kids tablets.",,,,,,,
,,,,,,,,,,,,blueeyes50,"Excellent and quit. There were children, but I never heard them. Food was hot and good. Temp was perfect. I have stayed here before and I will be staying again.",,,,,,,
,,,,,,,,,,,,Kimberly Hernigle,Love coming here for short family vacation get aways! The rooms are always clean and they have a complimentary breakfast which is actually really good!,,,,,,,
,,,,,,,,,,,,Anonymous,"Worst experience I have ever had at a hotel and I am in the travel industry! Room was horrible, tv didn't work, toilet was leaking and we had to put towels on the floor, sink didn't drain, fan didn't take out humidity at all and when told …",,,,,,,
,,,,,,,,,,,,Anonymous,Hotel was great. Rooms were clean and comfortable.  Breakfast was busy and staff did a great job of keeping items stocked,,,,,,,
,,,,,,,,,,,,Anonymous,"The hotel itself was nice, but if you want sleep, make sure you ask for a room that is not near other guests staying with dogs!",,,,,,,
,,,,,,,,,,,,Anonymous,We spent one night at this hotel while traveling to St. Paul.  Very pleasantly surprised with room size.  Staff very helpful.  Recommended local restaurant for dinner which was excellent.  Close to outlet mall.,,,,,,,
,,,,,,,,,,,,Teresa Kelley,"Very nice establishment, I'm in a wheelchair so bathroom was a regular, I couldn't close the door, toilet was to low.Other than that we had a very nice time!",,,,,,,
,,,,,,,,,,,,Anonymous,Hotel was clean and staff was friendly. Only complaint is that the pillows went flat when you laid your head on them. Check in and out process was easy.,,,,,,,
,,,,,,,,,,,,Anonymous,Pull out sleeper sofa was full of food when we pulled it out. Not cool. Defitenely hadn't been cleaned. So they gave another room at a cheaper rate.,,,,,,,
,,,,,,,,,,,,Anonymous,"It would be SUPER nice to see furniture at poolside that does not have arm rests or is made for ""bigger"" people ie sturdy benches. …",,,,,,,
,,,,,,,,,,,,Anonymous,This hotel not only met my criteria for an excellent hotel but exceeding it.1. Clean2. …,,,,,,,
,,,,,,,,,,,,Anonymous,Had excellent service at this hotel. The staff really went above and beyond to make sure that the customer was comfortable during their stay. Would highly recommend this hotel to anyone staying in the area.,,,,,,,
